dates,distance,parcel_size,parcel_weights,traffic_levels,weather_conditions,sequence_in_delivery,delivery_time_window
2024-01-16,77.36,,31.13,low,sunny,70.0,afternoon
2024-03-14,8.33,large,2.56,low,sunny,40.0,morning
2023-10-16,36.49,large,44.45,low,rainy,34.0,morning
2024-03-26,12.47,small,36.47,low,sunny,26.0,morning
2024-06-25,86.45,small,10.98,high,rainy,6.0,morning
2024-01-21,62.71,medium,6.12,low,snowy,26.0,morning
2024-01-20,33.76,medium,19.17,low,sunny,90.0,afternoon
2023-09-28,7.29,medium,10.79,low,sunny,58.0,afternoon
2024-08-22,31.79,large,35.24,low,snowy,41.0,afternoon
2023-12-10,33.19,large,9.13,low,snowy,14.0,morning
2023-12-09,73.23,large,26.43,low,sunny,98.0,afternoon
2024-07-01,64.12,medium,32.04,high,snowy,43.0,evening
2023-10-02,88.83,medium,33.62,high,foggy,44.0,afternoon
2024-05-27,47.75,small,38.4,medium,sunny,46.0,afternoon
2024-05-13,12.84,large,25.39,high,sunny,42.0,afternoon
2023-12-02,71.61,large,10.95,medium,rainy,38.0,morning
2023-12-21,76.32,small,17.31,medium,sunny,41.0,afternoon
2024-08-05,56.57,medium,19.3,high,rainy,97.0,evening
2024-02-04,77.33,medium,34.53,low,sunny,12.0,morning
2023-12-14,49.89,medium,31.48,medium,rainy,84.0,afternoon
2024-02-05,52.75,large,25.0,medium,sunny,70.0,afternoon
2024-03-03,43.33,small,23.93,high,sunny,34.0,morning
2024-04-09,3.52,small,3.48,medium,foggy,73.0,afternoon
2024-05-25,11.68,medium,34.64,medium,sunny,33.0,morning
2024-03-17,4.11,large,40.3,medium,foggy,75.0,afternoon
2023-10-15,64.0,small,44.48,low,sunny,84.0,morning
2024-06-18,32.12,large,1.51,medium,rainy,19.0,afternoon
2024-04-18,51.35,medium,43.8,high,rainy,75.0,afternoon
2024-03-09,90.85,medium,43.86,medium,snowy,58.0,afternoon
2024-04-20,25.68,small,33.32,high,sunny,20.0,morning
2023-10-21,41.63,medium,14.29,medium,sunny,38.0,morning
2023-12-16,75.8,small,44.68,low,sunny,30.0,morning
2023-11-10,23.65,medium,17.7,low,rainy,99.0,afternoon
2024-04-10,8.62,small,29.26,high,sunny,11.0,morning
2024-04-01,29.69,medium,22.33,high,rainy,59.0,afternoon
2023-12-19,16.96,medium,44.35,high,foggy,15.0,afternoon
2023-11-15,93.04,large,13.27,high,sunny,51.0,afternoon
2024-07-13,81.0,large,16.89,low,sunny,75.0,afternoon
2024-04-20,63.71,medium,20.69,medium,rainy,38.0,morning
2023-11-17,87.27,small,42.81,low,foggy,29.0,morning
2024-06-07,80.56,medium,16.25,low,sunny,89.0,afternoon
2023-12-17,19.47,large,14.79,low,sunny,9.0,morning
2024-07-18,89.36,small,39.91,medium,rainy,18.0,morning
2024-06-17,54.39,medium,19.69,medium,rainy,13.0,morning
2024-08-22,80.94,medium,33.41,low,sunny,85.0,afternoon
2023-11-09,89.71,large,43.84,medium,sunny,76.0,afternoon
2024-02-21,32.48,small,11.67,high,sunny,52.0,afternoon
2024-01-03,11.9,small,23.48,low,sunny,55.0,afternoon
2023-12-27,23.57,small,24.6,high,sunny,55.0,evening
2024-08-13,43.28,medium,28.63,low,sunny,27.0,morning
2024-04-03,81.98,large,45.96,medium,foggy,90.0,evening
2023-10-06,86.21,medium,49.04,low,rainy,16.0,morning
2023-11-20,1.69,large,40.16,medium,sunny,91.0,afternoon
2024-02-05,51.56,large,1.98,low,sunny,56.0,morning
2024-02-25,42.32,small,6.29,medium,foggy,48.0,afternoon
2024-09-13,22.99,medium,6.32,high,rainy,52.0,afternoon
2024-07-16,12.87,small,26.81,low,rainy,52.0,morning
2023-11-14,34.42,large,2.64,high,sunny,43.0,afternoon
2023-09-22,94.35,large,25.83,low,sunny,43.0,morning
2024-06-01,33.0,small,37.72,medium,sunny,95.0,afternoon
2023-10-17,52.36,small,15.45,low,rainy,8.0,morning
2024-06-16,70.6,large,23.74,high,sunny,46.0,afternoon
2024-06-07,37.0,medium,5.28,low,snowy,31.0,morning
2023-12-24,97.21,small,3.91,medium,sunny,84.0,afternoon
2024-01-21,96.28,medium,26.92,medium,foggy,14.0,morning
2024-05-02,25.93,large,1.1,high,sunny,74.0,afternoon
2023-10-22,50.23,small,35.32,low,rainy,37.0,morning
2023-11-06,30.79,small,7.53,high,sunny,78.0,afternoon
2023-10-31,29.2,large,44.77,low,sunny,9.0,morning
2024-05-18,4.65,small,42.59,low,rainy,1.0,morning
2024-03-06,61.35,small,11.72,low,rainy,69.0,afternoon
2023-10-06,50.77,medium,12.14,high,rainy,36.0,afternoon
2024-09-09,6.1,small,2.32,high,sunny,11.0,morning
2023-10-25,28.59,medium,49.19,low,sunny,99.0,afternoon
2024-03-06,90.92,small,3.24,low,sunny,20.0,morning
2024-09-10,24.72,small,24.24,low,sunny,22.0,morning
2024-01-29,15.34,large,42.54,low,sunny,79.0,afternoon
2023-10-26,49.46,large,8.43,medium,rainy,6.0,morning
2024-05-28,98.58,small,38.67,low,foggy,19.0,morning
2023-09-21,24.96,medium,8.86,high,sunny,25.0,afternoon
2024-03-22,67.54,large,15.58,high,rainy,99.0,evening
2024-05-16,76.4,large,13.15,low,sunny,48.0,morning
2024-01-11,24.53,large,2.83,medium,sunny,33.0,afternoon
2024-07-12,73.09,small,6.58,low,sunny,18.0,morning
2024-07-03,37.41,medium,33.93,medium,rainy,77.0,afternoon
2024-02-20,63.6,medium,4.76,medium,rainy,12.0,morning
2024-01-15,63.72,small,48.79,high,foggy,37.0,afternoon
2024-09-12,54.04,large,13.41,low,sunny,12.0,morning
2024-08-21,9.94,medium,5.93,low,rainy,23.0,morning
2023-11-14,83.69,medium,18.93,medium,sunny,93.0,afternoon
2023-09-29,32.76,small,14.17,medium,foggy,10.0,morning
2024-02-07,19.47,medium,4.38,high,rainy,16.0,afternoon
2024-07-08,5.04,medium,33.0,medium,snowy,17.0,afternoon
2024-03-13,59.5,large,39.0,low,sunny,71.0,afternoon
2024-08-16,68.08,large,0.61,high,rainy,78.0,evening
2024-07-04,2.64,large,28.81,medium,sunny,65.0,afternoon
2024-04-14,51.7,medium,32.46,low,sunny,89.0,afternoon
2024-06-21,23.42,large,49.18,high,sunny,20.0,afternoon
2024-07-28,64.87,small,33.18,medium,sunny,14.0,morning
2024-06-13,18.26,large,15.29,low,rainy,3.0,morning
2024-04-25,69.4,large,33.64,low,sunny,98.0,afternoon
2024-03-29,39.29,medium,14.2,high,sunny,46.0,afternoon
2023-12-12,93.74,large,7.41,low,rainy,98.0,afternoon
2024-01-01,14.61,small,37.2,medium,rainy,91.0,afternoon
2023-11-20,34.77,large,24.45,medium,snowy,29.0,afternoon
2024-07-10,12.23,large,47.62,high,sunny,6.0,morning
2024-02-27,92.54,small,3.58,low,sunny,53.0,morning
2023-11-03,87.86,small,24.23,low,sunny,39.0,morning
2024-07-27,26.54,large,12.92,low,rainy,86.0,afternoon
2024-08-03,66.34,medium,25.5,medium,sunny,16.0,morning
2024-07-18,81.9,small,2.61,low,rainy,74.0,afternoon
2024-04-08,55.96,small,2.5,low,rainy,21.0,morning
2023-11-01,53.44,medium,27.04,high,sunny,74.0,afternoon
2024-05-02,24.94,small,17.98,low,sunny,51.0,morning
2023-11-15,10.22,small,1.64,medium,snowy,49.0,afternoon
2024-08-06,89.82,medium,30.63,medium,sunny,54.0,afternoon
2023-10-27,90.14,large,22.47,high,sunny,40.0,afternoon
2024-08-31,63.68,medium,48.86,medium,rainy,80.0,afternoon
,34.56,large,41.71,low,rainy,38.0,afternoon
2024-01-23,35.57,small,36.64,low,sunny,21.0,morning
2023-10-28,72.87,small,24.22,low,sunny,76.0,afternoon
2024-08-05,89.81,large,24.5,high,sunny,84.0,evening
2023-12-18,88.82,medium,47.03,low,rainy,69.0,afternoon
2024-07-01,78.21,small,36.71,low,sunny,47.0,morning
2023-11-13,64.56,medium,4.97,high,rainy,30.0,afternoon
2023-11-28,9.33,large,22.07,high,sunny,13.0,afternoon
2024-09-01,17.0,large,21.2,high,sunny,99.0,evening
2024-04-14,89.96,large,6.06,low,sunny,55.0,morning
2024-07-23,61.04,medium,42.36,low,rainy,4.0,morning
2024-01-11,1.91,medium,14.44,low,sunny,31.0,morning
2023-12-16,,large,19.0,low,sunny,75.0,afternoon
2023-09-27,66.69,small,49.0,medium,sunny,40.0,afternoon
2024-07-16,1.5,large,34.26,low,sunny,34.0,morning
2024-04-17,16.92,small,40.39,low,sunny,44.0,morning
2024-09-05,55.32,small,5.71,medium,sunny,55.0,afternoon
2024-07-20,69.5,small,27.23,high,sunny,3.0,morning
2024-05-12,65.54,medium,35.92,high,foggy,33.0,afternoon
2023-12-27,23.2,small,40.76,medium,foggy,92.0,evening
2023-11-13,71.51,small,44.3,medium,snowy,98.0,evening
2024-02-23,24.49,large,4.95,low,sunny,12.0,morning
2024-02-22,33.21,small,37.09,low,sunny,10.0,morning
2024-01-08,74.9,small,5.36,medium,rainy,,afternoon
2024-05-24,65.31,large,20.51,low,sunny,91.0,afternoon
2024-01-23,85.07,medium,22.59,high,sunny,41.0,afternoon
2024-05-21,66.1,small,14.69,high,foggy,57.0,afternoon
2024-03-23,57.26,medium,43.23,medium,sunny,28.0,morning
2024-03-05,10.27,large,29.52,high,rainy,39.0,afternoon
2024-08-23,37.4,medium,7.46,medium,sunny,12.0,morning
2024-06-22,27.26,small,18.95,low,rainy,13.0,morning
2023-10-11,25.15,medium,4.4,high,rainy,46.0,afternoon
2023-12-13,97.33,medium,24.98,low,sunny,24.0,morning
2023-12-08,39.92,large,18.06,high,sunny,37.0,afternoon
2024-07-16,89.31,large,16.43,high,sunny,10.0,morning
2023-10-27,63.48,large,42.24,low,rainy,95.0,afternoon
2023-10-08,79.69,large,42.56,low,sunny,58.0,morning
2024-06-24,50.76,large,34.13,medium,sunny,16.0,morning
2024-06-11,58.11,large,46.01,low,rainy,32.0,morning
2024-08-26,49.76,large,32.91,low,rainy,26.0,morning
2024-09-18,20.33,large,31.14,low,rainy,34.0,morning
2024-06-22,72.52,medium,5.14,low,sunny,95.0,afternoon
2024-02-28,28.8,large,1.02,medium,sunny,99.0,afternoon
2024-04-18,3.41,medium,10.89,medium,sunny,79.0,afternoon
2024-02-20,64.9,small,39.45,medium,sunny,77.0,afternoon
2024-01-17,18.53,large,46.5,low,sunny,14.0,morning
2023-10-26,94.11,small,11.87,medium,sunny,98.0,afternoon
2023-11-24,95.44,large,8.85,medium,snowy,46.0,afternoon
2023-10-14,91.57,small,41.86,high,sunny,97.0,evening
2023-10-08,37.65,medium,19.29,low,rainy,25.0,morning
2024-06-16,2.53,large,48.91,medium,sunny,87.0,afternoon
2024-05-29,92.9,medium,48.06,high,sunny,35.0,afternoon
2024-05-12,43.39,small,17.05,low,rainy,54.0,morning
2024-07-08,96.7,medium,28.21,low,snowy,72.0,evening
2024-06-27,96.4,large,34.15,high,sunny,50.0,afternoon
2024-05-25,85.45,medium,32.18,low,foggy,90.0,afternoon
2023-11-18,30.15,medium,48.78,high,sunny,93.0,evening
2024-06-06,39.12,small,18.28,high,foggy,92.0,evening
2024-05-25,85.26,small,36.43,low,sunny,77.0,afternoon
2024-03-31,32.38,large,29.26,medium,foggy,43.0,morning
2024-05-01,17.78,small,26.27,low,sunny,23.0,morning
2024-07-20,56.12,medium,7.84,low,sunny,68.0,morning
2024-01-15,93.68,small,37.8,high,sunny,76.0,afternoon
2024-06-26,69.91,large,20.18,low,foggy,19.0,morning
2023-11-16,57.44,small,6.9,low,sunny,62.0,afternoon
2023-12-08,10.62,large,1.06,low,sunny,56.0,afternoon
2024-02-10,61.89,large,7.85,medium,rainy,13.0,morning
2024-04-08,99.02,medium,34.67,medium,sunny,64.0,afternoon
2024-07-09,14.87,medium,37.56,high,sunny,69.0,afternoon
2024-08-26,52.31,medium,2.77,low,sunny,45.0,afternoon
2024-08-15,87.86,large,8.16,high,snowy,30.0,afternoon
2024-09-14,74.34,small,49.96,high,rainy,88.0,afternoon
2024-01-31,70.0,small,20.99,medium,rainy,30.0,afternoon
2023-10-28,70.55,large,44.8,low,sunny,61.0,morning
2024-03-25,36.59,large,20.64,low,snowy,8.0,morning
2024-03-22,30.07,small,26.69,high,rainy,71.0,evening
2024-08-19,81.13,small,43.84,high,snowy,48.0,afternoon
2024-06-16,81.2,large,49.5,high,sunny,47.0,afternoon
2024-03-03,86.84,small,4.01,high,sunny,97.0,evening
2024-05-15,91.41,small,31.8,high,rainy,19.0,afternoon
2023-12-12,51.62,large,23.69,high,snowy,88.0,evening
2023-10-18,50.65,large,27.19,medium,sunny,49.0,afternoon
2024-08-10,80.03,medium,10.49,low,rainy,53.0,morning
2024-01-28,65.35,medium,44.77,low,sunny,28.0,morning
2024-08-10,70.49,small,14.7,low,sunny,16.0,morning
2024-01-17,79.78,large,7.4,low,sunny,87.0,afternoon
2024-02-10,89.11,small,35.59,low,sunny,75.0,afternoon
2024-07-31,34.46,large,49.03,low,sunny,26.0,morning
2023-10-17,38.18,small,12.4,medium,snowy,86.0,evening
2024-08-11,10.3,small,23.71,low,rainy,50.0,morning
2024-07-04,58.25,large,3.71,medium,rainy,95.0,evening
2024-01-27,4.56,medium,17.01,medium,foggy,98.0,afternoon
2024-06-10,47.09,medium,40.39,low,snowy,97.0,evening
2024-02-12,54.72,large,44.14,medium,rainy,91.0,afternoon
2024-03-08,29.37,small,12.1,low,foggy,89.0,evening
2024-08-03,59.49,small,27.6,high,snowy,16.0,afternoon
2024-06-24,4.02,small,39.35,low,sunny,16.0,morning
2024-01-15,4.7,large,1.42,high,snowy,47.0,evening
2023-10-05,82.44,medium,11.01,medium,rainy,3.0,morning
2024-02-09,36.66,large,2.35,low,rainy,86.0,afternoon
2023-09-30,13.58,medium,6.78,low,sunny,85.0,afternoon
2024-01-18,52.7,medium,9.29,low,snowy,37.0,afternoon
2023-10-28,77.23,large,1.96,low,rainy,26.0,morning
2024-05-05,22.37,medium,22.18,medium,rainy,51.0,afternoon
2024-08-07,62.67,medium,20.92,high,sunny,75.0,evening
2024-07-29,9.45,medium,14.94,medium,sunny,8.0,morning
2024-04-26,6.12,small,16.25,medium,rainy,54.0,afternoon
2023-10-21,53.6,large,27.09,low,rainy,7.0,morning
2024-05-04,54.52,small,40.34,medium,sunny,74.0,afternoon
2024-08-02,64.11,large,48.77,low,snowy,24.0,morning
2023-10-05,72.88,small,40.93,high,rainy,14.0,afternoon
2024-04-19,97.61,medium,19.8,medium,sunny,38.0,afternoon
2024-03-15,52.11,small,43.84,low,sunny,85.0,afternoon
2023-10-06,32.97,small,41.3,low,rainy,58.0,afternoon
2024-06-15,79.72,large,45.66,medium,rainy,51.0,morning
2024-06-12,27.81,large,3.75,medium,rainy,83.0,afternoon
2024-04-08,44.46,small,18.0,medium,sunny,1.0,morning
2024-05-11,8.77,large,2.8,medium,sunny,41.0,morning
2024-07-26,3.51,medium,16.41,high,rainy,40.0,afternoon
2024-04-07,96.3,medium,14.39,high,rainy,30.0,afternoon
2023-11-02,83.76,medium,45.57,low,sunny,16.0,morning
2023-11-18,69.9,large,47.27,low,sunny,37.0,morning
2023-12-17,41.49,large,34.91,low,rainy,87.0,afternoon
2023-10-16,18.16,small,14.5,low,foggy,47.0,morning
2024-05-04,16.49,large,0.84,high,sunny,51.0,afternoon
2023-11-15,25.77,small,33.69,high,rainy,32.0,afternoon
2023-12-31,55.37,large,25.22,high,snowy,85.0,evening
2024-07-31,71.74,large,10.76,low,sunny,27.0,morning
2024-08-23,66.36,small,9.2,medium,sunny,16.0,morning
2024-06-12,28.71,medium,28.21,low,foggy,29.0,morning
2023-11-12,95.53,large,6.95,medium,foggy,27.0,morning
2024-03-04,74.05,small,27.68,low,rainy,72.0,afternoon
2024-01-22,55.88,large,45.84,low,rainy,5.0,morning
2023-12-03,61.56,large,39.68,high,sunny,80.0,afternoon
2023-12-08,42.54,large,47.1,medium,sunny,16.0,morning
2023-10-14,25.53,large,12.79,medium,sunny,68.0,afternoon
2024-09-07,36.24,large,47.63,medium,foggy,44.0,afternoon
2024-04-18,76.03,small,24.02,medium,sunny,95.0,evening
2024-04-27,2.42,large,31.72,low,sunny,77.0,morning
2024-01-25,12.49,small,15.05,low,sunny,40.0,morning
2024-08-04,5.55,small,49.71,medium,rainy,9.0,morning
2024-04-24,5.03,medium,22.17,medium,sunny,72.0,afternoon
2023-11-09,85.69,small,9.78,medium,rainy,38.0,afternoon
2024-05-05,70.66,small,28.91,low,sunny,32.0,morning
2023-12-31,47.94,medium,13.15,medium,snowy,10.0,morning
2024-01-26,10.69,large,22.08,low,sunny,24.0,morning
2024-07-03,49.67,medium,10.8,medium,snowy,13.0,afternoon
2023-10-06,47.87,large,19.64,medium,snowy,78.0,evening
2024-01-30,18.15,large,5.08,low,sunny,52.0,afternoon
2023-10-13,43.95,small,14.6,low,sunny,6.0,morning
2023-11-09,40.45,large,12.81,low,sunny,57.0,afternoon
2024-06-15,61.97,medium,47.41,medium,sunny,37.0,morning
2024-06-18,63.87,medium,29.83,low,sunny,40.0,morning
2024-04-12,5.49,large,1.81,high,rainy,37.0,afternoon
2024-05-23,38.09,medium,45.73,medium,rainy,56.0,afternoon
2023-11-15,62.96,medium,32.4,medium,sunny,25.0,afternoon
2024-02-05,50.81,small,17.19,low,rainy,9.0,morning
2024-02-11,85.79,small,18.64,high,sunny,50.0,afternoon
2023-12-19,66.21,small,2.06,low,snowy,28.0,afternoon
2023-12-01,17.13,large,48.73,low,sunny,32.0,morning
2024-06-28,7.99,small,43.09,low,rainy,36.0,morning
2024-04-20,64.6,medium,3.74,high,rainy,12.0,morning
2023-12-04,3.62,small,34.24,medium,sunny,76.0,afternoon
2024-02-08,58.99,medium,22.74,low,sunny,49.0,morning
2023-10-15,94.08,small,40.51,medium,sunny,85.0,afternoon
2024-07-14,57.97,medium,31.36,medium,sunny,90.0,afternoon
2024-07-02,39.43,small,20.93,medium,rainy,25.0,morning
2024-07-14,64.69,small,22.1,low,rainy,92.0,afternoon
2023-10-31,46.37,small,32.75,medium,sunny,14.0,morning
2023-10-05,55.02,small,32.91,medium,sunny,47.0,afternoon
2024-07-29,94.21,medium,28.1,high,sunny,69.0,afternoon
2023-10-20,39.22,small,44.27,low,rainy,87.0,afternoon
2024-04-28,96.16,large,39.08,low,sunny,88.0,afternoon
2024-03-01,90.63,small,6.37,low,snowy,14.0,afternoon
2024-07-02,20.38,small,43.66,low,rainy,19.0,morning
2023-10-08,7.87,large,10.49,low,rainy,54.0,morning
2024-09-03,10.98,medium,47.55,low,foggy,27.0,morning
2024-07-21,2.8,large,40.46,medium,foggy,70.0,afternoon
2023-11-22,10.35,medium,45.5,high,rainy,37.0,afternoon
2024-05-18,68.62,large,33.99,low,sunny,7.0,morning
2023-10-18,8.05,large,32.75,low,rainy,49.0,afternoon
2024-01-01,32.58,large,12.83,low,foggy,28.0,morning
2024-01-29,84.64,medium,31.49,low,rainy,37.0,morning
2024-06-20,3.3,small,21.3,low,sunny,49.0,morning
2024-05-29,81.63,small,8.09,medium,sunny,79.0,afternoon
2024-05-30,28.9,large,18.33,medium,sunny,64.0,afternoon
2023-11-19,12.7,medium,33.28,low,rainy,69.0,morning
2023-10-08,69.98,medium,43.85,high,rainy,20.0,morning
2023-10-12,63.27,small,22.18,low,sunny,8.0,morning
2023-09-25,87.87,medium,14.85,medium,sunny,19.0,afternoon
2023-10-10,73.77,medium,8.47,medium,rainy,1.0,morning
2023-10-13,80.54,large,20.45,medium,rainy,28.0,morning
2024-09-16,28.92,medium,14.58,low,sunny,22.0,morning
2024-05-13,18.57,medium,22.64,medium,foggy,56.0,afternoon
2024-07-22,75.31,large,5.49,high,rainy,14.0,afternoon
2023-12-01,80.88,small,36.91,low,rainy,7.0,morning
2024-04-03,99.06,small,0.72,medium,sunny,99.0,evening
2023-11-09,41.85,medium,35.13,medium,sunny,8.0,morning
2024-02-17,37.83,large,15.68,low,sunny,44.0,morning
2024-02-18,77.86,small,18.28,high,sunny,69.0,afternoon
2023-11-12,34.74,medium,8.97,high,sunny,50.0,afternoon
2024-07-15,93.14,small,48.42,low,sunny,97.0,afternoon
2023-11-05,85.98,medium,3.12,low,sunny,83.0,afternoon
2024-09-01,43.47,small,14.51,medium,rainy,57.0,afternoon
2023-10-20,75.34,large,7.77,medium,sunny,59.0,afternoon
2024-01-09,75.7,large,24.37,medium,snowy,78.0,evening
2024-04-02,11.21,small,28.22,low,sunny,75.0,afternoon
2024-01-03,90.35,large,10.22,medium,rainy,25.0,afternoon
2024-01-07,51.02,small,32.94,medium,sunny,23.0,morning
2024-06-05,82.82,small,27.86,high,sunny,49.0,afternoon
2024-03-17,32.68,large,42.19,medium,snowy,12.0,afternoon
2024-09-20,89.66,medium,45.37,low,sunny,5.0,morning
2023-12-07,39.53,large,34.88,medium,snowy,66.0,evening
2024-05-17,2.07,medium,31.7,medium,foggy,68.0,afternoon
2023-12-18,90.63,medium,30.47,medium,rainy,40.0,afternoon
2024-04-06,10.04,medium,8.77,low,sunny,16.0,morning
2023-10-26,32.61,small,44.22,low,rainy,37.0,morning
2024-01-31,95.06,medium,18.33,high,sunny,90.0,evening
2024-05-10,95.11,medium,34.72,high,snowy,89.0,evening
2024-09-09,57.77,large,22.31,medium,foggy,75.0,afternoon
2024-04-11,63.55,small,45.19,medium,sunny,46.0,afternoon
2024-03-22,45.4,small,20.67,medium,sunny,25.0,morning
2024-03-14,30.03,medium,28.22,medium,foggy,35.0,afternoon
2023-11-02,33.54,large,9.78,low,rainy,96.0,afternoon
2023-10-08,67.58,medium,27.92,low,rainy,99.0,afternoon
2024-02-11,75.49,small,10.53,high,rainy,11.0,morning
2024-06-21,79.37,large,39.83,low,rainy,33.0,morning
2024-02-17,79.17,small,18.68,medium,rainy,42.0,afternoon
2024-07-28,10.03,small,21.5,medium,sunny,13.0,morning
2023-11-16,49.95,small,32.2,medium,sunny,24.0,morning
2024-06-19,6.7,small,4.75,low,foggy,73.0,afternoon
2024-02-29,55.4,small,16.08,low,snowy,74.0,evening
2023-11-28,44.71,large,46.7,low,sunny,26.0,morning
2024-04-11,88.88,large,43.17,medium,foggy,95.0,evening
2024-02-04,35.74,small,11.95,medium,sunny,75.0,afternoon
2024-03-02,12.59,medium,25.89,medium,rainy,99.0,afternoon
2024-06-08,15.16,medium,29.37,low,sunny,29.0,morning
2024-05-02,76.39,small,15.43,medium,foggy,89.0,evening
2024-02-20,62.2,large,17.71,medium,snowy,99.0,evening
2024-08-22,11.01,medium,48.91,low,rainy,93.0,afternoon
2023-11-29,9.33,large,7.36,low,foggy,22.0,morning
2024-04-04,70.4,large,45.61,low,sunny,1.0,morning
2023-09-26,8.2,medium,18.04,low,snowy,17.0,morning
2024-03-12,82.36,medium,12.33,high,rainy,37.0,afternoon
2024-06-09,70.92,large,13.4,high,foggy,24.0,afternoon
